127.0.0.1 - - [25/Sep/2025:08:51:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:51:14 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:54:42 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:54:42 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:54:42 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:57:46 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:57:46 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:57:46 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:20 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:20 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:20 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:22 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:22 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:22 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:22 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:22 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:22 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:29 +0530] "GET /ORSProject-04/LoginCtl HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:29 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [25/Sep/2025:08:59:29 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 789
